Nom;Ville;Departement;Websites;Mail;Produits;Infos
"Amap Les Paniers d'Excideuil";excideuil;24;https://www.facebook.com/panier.excideuil/;paniers_excideuil@jardins-de-boscornut.com;" Légumes BIO, pommes et jus BIO, poulets BIO";"Distribution le vendredi de 18h à 19h sous la Halle. Contact téléphonique : 06 10 37 15 01"
"LE PERIGORD DANS VOTRE ASSIETTE";la-chapelle-pechaud;24;;//www.facebook.com/le.perigord.dans.votre.assiette.amap/;" Légumes, fruits, pain, fromages, produits laitiers, volaille, miel, huiles, sorbets";"Distribution le mercredi de 17h30 à 18h30 à la salle des fêtes. Contact téléphonique: 06.76.68.99.15. Ceci est une association loi 1901 de type AMAP."
"Amap Payzac";payzac;24;https://fr-fr.facebook.com/amap.excideuil/;contact@jardins-de-boscornut.com;" Légumes BIO, pain BIO, oeufs BIO, poulets, fromage de chèvre, viande d'agneau, miel, noix";"Distribution le jeudi de 17h30 à 19h30 sous la Halle. Contact téléphonique: 06 16 65 85 29"
"AMAP DE PEYRIGNAC";peyrignac;24;;amap-peyrignac@laposte.net;" Légumes BIO, viande de boeuf BIO, miel";"Distribution le samedi de 10h30 à 11h30 sous le préau de l'école."
"AMAP de SAINT-CYPRIEN";saint-cyprien;24;;jacquesbonet24@orange.fr;" Légumes, pommes, kiwis, myrtilles, fraises, glaces, pain, poulets, viande de porc, produits laitiers (vache / chèvre), jus de fruits, vin";"Tous les produits sont BIO Distribution le mercredi de 19h à 19h30 dans le Bâtiment Nature La Croix du Rat (route de Meyral sur la gauche). Contact téléphonique : - Moune BONET : 05 53 29 68 77"
"Le Jardin Lamponais";saint-julien-de-lampon;24;https://www.facebook.com/Le-Jardin-Lamponais-AMAP-24-2255278448054918/;malevergne24@gmail.com;" Légumes BIO, oeufs BIO, fromage de chèvre";"Distribution le vendredi de 18h à 19h30 sur la place du foirail."
"Collectif Du champ";l'assiette;25;go.php?typ=1&id=2076;amap@champalassiette.fr;" Légumes, pain, fromages, oeufs, volaille, oeufs,confiture";"Distribution le jeudi de 18h à 19h30 tous les quinze jours dans les locaux du Centre social ESCAPADE - 2, Rue Aimé Césaire (face à ""Pôle Emploi"")."
"LA CAGETTE DU COIN - AMAP BIO BISONTINE";besancon;25;https://www.facebook.com/lacagetteducoin/;lacagetteducoin.amap@posteo.net;" Légumes BIO";"Distribution s: - le mardi au Centre Diocésain - 20, rue Megevand - le vendredi au café-associatif ""Le Pixel"" - 18, avenue Arthur Gaulard"
"Le Panier de l?Aneth";besancon;25;go.php?typ=1&id=423;lepanierdelaneth@gmail.com;" Légumes AB, fruits AB, ?ufs AB, porc AB, volailles fermières AB, agneau, pain (Nature et Progrès), fromage de chèvre AB, poisson, miel AB";"Distribution les mardi et vendredi de 18h à 19h30 à la micro-brasserie ""Les 2 Fûts"" - 7, rue François REIN."
Pacham'AMAP25;besancon;25;"https://www.facebook.com/pachamamap25/ | go.php?typ=1&id=1838";contactamapbesac@gmail.com;" Légumes BIO";"Distribution le mardi de 17h15 à 19h15 (d'avril à décembre) au Restaurant ""L'effet Boeuf"" - 3, rue Mairet."
"AMAP des Gabelous";buffard;25;;amapgabelous@gmail.com;" Légumes";"Distribution le mardi de 17h à 19h impasse Coutteret. Contacts : SARAH - 03 81 57 44 73 SOPHIE - 06 20 22 65 55"
"AMAP - Les Paniers du Plateau";fontain;25;;amap.aflp@proton.me;" Légumes, fromages de chèvre, oeufs, pain, viande de porc ou d'agneau, poulets et pintades, vin, bière, nougat, miel, pains d'épice";"Distribution le jeudi de 17h30 à 19h à l'ancienne mairie d'Arguel"
"AMAP' REFERENCE VAL 'DRUGEON";frasne;25;;parmariedan@orange.fr;" Légumes BIO";"Distribution dans le local mis à disposition par la Mairie. Contact téléphonique : 06 81 59 82 00 ou au 06 82 64 71 02."
"Les Paniers de la Bergeronnette";labergement-sainte-marie;25;;lespaniersdelabergeronnette@ik.me;" Légumes, ?ufs, pain, fromage, tisanes, confitures, sirops.";"Distribution le vendredi de 17h30 à 19h."
"AMAP Visage du Lison";nans-sous-sainte-anne;25;go.php?typ=1&id=430;echel.assoc@free.fr;" pain BIO, champignons BIO, huiles BIO";"Distribution le jeudi de 18h à 19h au local de l'association ECHEL."
"AMAP Rilchou";pontarlier;25;go.php?typ=1&id=424;secretariatamap25@gmail.com;" Légumes BIO, fruits, oeufs, viandes, volailles, produits laitiers, fromages, champignons, pain, miel, bière, vin";"Distribution le mercredi de 18h15 à 19h30 - 13, rue des Abbés Cattet (local des Scouts)."
"AMAP 'LOUE";quingey;25;go.php?typ=1&id=1868;amap.quingey@gmail.com;" Légumes BIO, ?ufs BIO, pain BIO, poulet BIO, fromage de chèvre et de brebis BIO";"Livraison le vendredi de 17h30 à 19h sur la place de la Confrérie."
"AMAP LE PANIER DE LA BERGERONNETTE";saint-vit;25;"https://www.facebook.com/amapdelabergeronnette/ | go.php?typ=1&id=2256";amaplepanierdelabergeronnette@gmail.com;" Légumes, farines, pâtes, pain, viande de porc, de boeuf, d'agneau, poulets, oeufs, flans, fromages & lait de chèvre, produits laitiers (vache), bière, fruits, savons-cosmétiques, miel, escargots";"Distribution le jeudi à partir de 18h à la Ferme du Creuseret à Boismurie (à gauche à l?entrée du hameau en arrivant de St-Vit). TOUS LES PRODUITS SONT BIOS."
"AMAP le Goût Nature";bourg-les-valence;26;"https://www.facebook.com/AMAPdeBourgLesValenceGoutNature/ | go.php?typ=1&id=983";jbrunet26@gmail.com;" Légumes, agrumes, viande de porc, produits laitiers, fromages, pain, oeufs, poulets, farine, confitures, miel, huile, jus de fruits, chocolat & café BIO";"Distribution le jeudi de 18h30 à 19h30 à la Ruche Truk'Muche - 90, Boulevard du 3e Millénaire."
"AMAP du Val de Drôme";crest;26;go.php?typ=1&id=992;amap-du-val-de-drome@g3l.org;" Légumes BIO, pain, oeufs, miel";"Distribution le jeudi de 18h à 19h au Crest actif - Quai Berangier de la Blache."
"AMAP Mon Beau Jardin";monteleger;26;go.php?typ=1&id=1038;monbeaujardin26@bbox.fr;" Légumes, jus de pomme, pommes, oeufs, pain, fromages, viande d'agneau";"Distribution le vendredi de 17h à 19h ou le samedi de 9h à 11h chez les producteurs de légumes Loïc DAVID et Sylvain GAGNE à la Ferme (quartier de Consonaves)."
"AMAP Paniers de Mélusine";montelier;26;go.php?typ=1&id=2041;panier.melusine@gmail.com;" Légumes, fruits, oeufs, pommes, jus de fruit, pain, farine, légumes secs, huiles, viandes";"Distribution le jeudi de 19h à 20h à la salle ""La Fontaine"" - place de l'église."
"AMAP Radi'sel";montoison;26;go.php?typ=1&id=1702;radisel26@gmail.com;" Légumes, fruits, pain, fromages de chèvre, oeufs, miel, pain d'épices, viandes, volaille";"Distribution le mardi de 18h30 à 19h30 à l'école élémentaire à côté de la mairie."
"AMAP de Nyons";nyons;26;go.php?typ=1&id=1358;amapdenyons@gmail.com;" Légumes, fruits, viande, pain, fromages, légumes secs, farine, miel, confitures";"Distribution le lundi de 18h30 à 19h15 à la Maison de Pays - Rue Theodore Dumont (près de la digue à coté du jardin des arômes)."
"AMAP Coluche";romans;26;go.php?typ=1&id=989;paniers-coluche@mailo.com;" Légumes, oeufs, fromage, volaille, bière, charcuterie, miel, pain, poulet";"Distribution le mardi de 18h à 19h à la Maison de Quartier Coluche - 42 bis, rue André Chénier."
"AMAP la ferme du Chapître";romans;26;go.php?typ=1&id=987;amap.du.chapitre@gmail.com;" Légumes BIO, fruits, miel, pain, volaille, fromage";"Distribution le vendredi de 18h à 19h30 à la Maison de Quartier Saint Nicolas - 14, place du Chapitre."
"AMAP de SAINT-DONAT";saint-donat;26;go.php?typ=1&id=984;guillonbrice@gmail.com;" Légumes BIO";"Distribution le mardi de 18h à 19h à l?entrée de la MJC."
"AMAP La Tricastine";saint-paul-trois-chateaux;26;"https://www.facebook.com/amaplatricastine/ | go.php?typ=1&id=994";amaplatricastine@gmail.com;" Légumes, fruits, oeufs, fromages, pain, poulet, viandes, miel, olives, tapenade";"Distribution le mercredi de 18h à 19h - Salle Chauzy - Place de la Mairie."
"AMAP C'est de Saison";taulignan;26;go.php?typ=1&id=1037;amaptaulignan@gmail.com;" Légumes, champignons, fruits secs, viandes ";"Distribution le vendredi de 18h15 à 19h en hiver et de 18h45 à 19h30 en été sur la Place du Pradou."
"AMAP 1001 légumes - Le Potager de Beaumesnil";beaumesnil;27;go.php?typ=1&id=1976;info@1001legumes.com;" Légumes BIO, volailles, fromage de chèvre";"Distribution le jeudi de 17h à 18h30 au Le potager de Beaumesnil - 7, rue des Forges."
"LES PANIERS DE BERNAY";bernay;27;https://www.facebook.com/amap.bernay/;amap.bernay@laposte.net;" BIO";"Distribution le mercredi de 18h à 19h au 14, rue Taillefer (en face de l'entrée principale du cimetière de la Basilique de la Couture)."
Amap;"la ferme des rufaux";27;"https://www.facebook.com/LaFermeBiologiqueDeBouquetot/?locale=fr_FR | go.php?typ=1&id=2231";contact@fermedesrufaux.com;" Légumes BIO, fruits BIO, poulet, fromage, viande, aromatiques, bière, tisane, pâtes";"Distribution le mardi de de 18h à 19h à la ferme des Rufaux - 71 bis, allée de la Mare des Rufaux."
"Amap du Roumois";bourgtheroulde-infreville;27;;myriam.ferlin@wanadoo.fr;" Légumes, pommes, poires, viandes, volaille, produits laitiers, céréales, farine, miel, vin, produits cidricoles";"Distribution le jeudi de 18h à 19h30 au Centre Gilbert Martin - rue d'Elbeuf."
"LES PANIERS CONCHOIS";conches-en-ouche;27;go.php?typ=1&id=1977;lespaniersconchois@gmail.com;" Légumes BIO, fruits BIO, jus de pommes BIO, pain BIO, fromage de chèvre BIO, viandes de porc BIO, viande de boeuf, poulet BIO, oeufs BIO, miel BIO, farine BIO";"Distribution le jeudi de 18h30 à 19h30 à la salle des Promenades - 21, allée des Promenades."
"AMAP Ecardenvillaise";ecardenville-sur-eure;27;go.php?typ=1&id=708;bio@amap27490.fr;" Légumes, fruits, viandes, volaille, produits laitiers";"Livraison le jeudi de 18h à 18h30 à la Maison des Associations (derrière la salle des fêtes)."
"AMAP d'Evreux";evreux;27;https://www.facebook.com/amapevreux27/;amapevreux27@gmail.com;" Légumes, fruits, pain, brioche, pommes, produits laitiers, fromages, volailles, oeufs, viandes, miel, farine, vin, jus de pomme, de poire, poiré, cidre, pommeau";"Distribution le jeudi de 18h à 19h à la Maison de quartier du Clos au Duc - 5, Rue Pierre et Marie Curie."
"AMAP'tite cagette de Gasny";gasny;27;"https://www.facebook.com/groups/AmaptitecagettedeGasny/ | go.php?typ=1&id=2422";amapgasny@gmail.com;" Légumes BIO, fruits, fromage de chèvre, viande de boeuf";"Distribution le jeudi de 18h à 19h dans la cour du Prieuré."
"AMAP GRAVERON";graveron-semerville;27;go.php?typ=1&id=1979;amapgraveron@free.fr;" Légumes BIO, produits laitiers, pain BIO, volailles, viandes BIO, cidre, farine, conserves, confitures";"Distribution le jeudi de 20h à 20h30 à la Salle des Fêtes (à côté de la Mairie) - 1, avenue de Turgere."
"AMAP CAP NORD EST";gravigny;27;"https://www.facebook.com/Amap.Capnordest.Gravigny | go.php?typ=1&id=2307";amap.capnordest@gmail.com;" Légumes, oeufs, pain, farine, fromage";"Distribution le mercredi de 18h30 à 19h30 - 1o7, avenue Aristide-Briand."
"Les Paniers d'Houlbec";houlbec-cocherel;27;;paniersdhoulbec@gmail.com;" Légumes BIO, fruits, volaille, fromages et yaourts de brebis";"Distribution le mardi de 18h30 à 19h30. Contact téléphonique : 06 63 04 30 14"
"AMAP du Bec Hellouin";le-bec-hellouin;27;;lilliam@fermedubec.com.;" Légumes";"Distribution le jeudi de 17h30 à 18h30 à La ferme du Bec Hellouin - 1, sente du Moulin au cat."
"Le Bio Paillot";les-baux-ste-croix;27;go.php?typ=1&id=2232;lebiopaillot@ecomail.fr;" Légumes, jus de pommes, pain, viandes bovine et porcine, poulet, fromages de chèvre et de brebis, légumes secs";"Distribution le jeudi de 17h45 à 19h à la salle des fêtes. Contact téléphonique: - Sandrine LAVAL : 06 77 29 16 15"
"Amap Louviers";louviers;27;https://www.facebook.com/AMAP-Louviers-111125623573516/;amaplouviers27@gmail.com;" Légumes BIO, boeuf BIO, agneau BIO, poulet BIO, charcuterie BIO, oeufs BIO, miel, farine et pates BIO";"Distribution le mercredi de 18h à 19h30 à la salle des colonnes dans la cour de la Mairie."
"AMAP de Parville";parville;27;go.php?typ=1&id=2689;amaparville@gmail.com;" Légumes, oeufs, pain, bière";"Distribution le mardi de 17h30 à 18h30 à la salle des fêtes - 12, route de Beaumont."
"AMAP Risloise";pont-audemer;27;"https://www.facebook.com/AMAP-Risloise-566599217182032/ | go.php?typ=1&id=707";amap.risloise@outlook.fr;" Légumes BIO, produits laitiers BIO, pain BIO, viande, cidre, miel, produits commerce équitable";"Distribution le mercredi de 18h30 à 19h30 dans les locaux du Pôle social (Resto du coeur)- 9, rue des Papetiers."
"Saveurs et Savoirs";romilly-sur-andelle;27;"https://www.facebook.com/SaveursSavoirs/ | go.php?typ=1&id=2359";webmaster@saveursetsavoirs.fr;" Légumes BIO, pain BIO, fromage de chèvre BIO, farine BIO, produits laitiers de vache BIO, escargots BIO, épicerie BIO, viande de mouton et de lapin BIO";"Autres produits : macérats et huiles essentielles BIO, confitures et sirops BIO, savons BIO, pommes BIO. Livraison le dernier jeudi du mois de 17h45 à 19h15, salle du Carré."
"Les Paniers de St André";saint-andre-de-l-eure;27;go.php?typ=1&id=2358;paniers.saintandre@gmail.com;" Légumes BIO, pommes, oeufs BIO, pain, brioche, lentilles, produits laitiers chèvre, viandes, volaille, pdts cidricoles, miel, épicerie";"Distribution le mardi de 17h30 à 18h30 au gymnase du collège des 7 épis - Boulevard de la communauté européenne. Tous les produits sont en AB."
"AMAPOPOTE SAINT-MARCEL";saint-marcel;27;;amapopote.stmarcel@gmail.com;" Légumes BIO, pain";"Distribution le mardi de 18h à 19h à la Mairie (salle Marigny)."
"AMAP DES GOBETTES";saint-sylvestre-de-cormeilles;27;"https://fr-fr.facebook.com/pg/fermedesgobettes/posts/ | go.php?typ=1&id=2615";francois.panchout@gmail.com;" Légumes";"Distribution le samedi de 9h à 12h au 39, rue d'Angerville."
"AMAP de l'agglo d'Elbeuf";thuit-anger;27;go.php?typ=1&id=1981;amapaggloelbeuf@laposte.net;" Légumes, produits laitiers, volailles, viande bovine, fruits, miel, produits cidricoles";"Distribution le jeudi de 17h30 à 19h au Campanile."
"LES PANIERS DE VERNEUIL";verneuil-sur-avre;27;go.php?typ=1&id=728;paniersdeverneuil@laposte.net;" Légumes, volaille, viandes, fromage de chèvre, pain, produits laitiers, légumineuses, jus de pommes";"Distribution le mardi de 17h30 à 18h30 à la salle des Associations (entre l'Ecole de musique et la MJC)."
"A MA PORTÉE";vernon;27;https://www.facebook.com/AmapDeVernon/;amapdevernon@gmail.com;" Légumes, pain";"Distribution le jeudi de 18h45 à 19h45 à la Manufacture des Capucins."
"Amapetite cagette";chartres;28;go.php?typ=1&id=1301;amapetitecagette@gmail.com;" Légumes BIO, fruits BIO, pain BIO, viandes BIO, oeufs, volaille BIO, produits laitiers BIO, confitures BIO, bière BIO, vin BIO, miel BIO";"Distribution le jeudi de 17h30 à 19h30 à HABITAT ET HUMANISME - 4, place St Brice (au fond de la cour, en sous-sol)."
"A MA Planète bio";dreux;28;;amaplanetebio@gmail.com;" Légumes, fruits, pain, viande, oeufs, fromages, cidre, jus de pommes, tisane, pâtisseries";"Distribution le jeudi de 17h45 à 19h45 au Cercle Laïque - 19, rue Pastre (dans la cour de derrière). Contact téléphonique : - Françoise MAGER-MAURY - 06.30.86.07.59"
"AMAP DU PLATEAU";fonville;28;"https://www.facebook.com/LePlateauBio/?ref=page_internal&path=%2FLePlateauBio%2F | go.php?typ=1&id=1959";amapduplateau28@gmail.com;" Légumes BIO, oeufs BIO";"Distribution le vendredi."
"AMAP AUX POTES";gas;28;https://www.facebook.com/profile.php?id=100070430223721;amapauxpotes28@gmail.com;" Légumes BIO, pain, volailles BIO, viande BIO, oeufs, produits laitiers";"Distribution le mercredi de 18h30 à 19h30 dans la cour de la Mairie."
"Le Panier de la Roguenette";gasville-oiseme;28;https://www.facebook.com/Lepanierdelaroguenette/;lepanierdelaroguenette@gmail.com;" Légumes, fruits, fromage de chèvre, pain, oeufs";"Distribution le jeudi dans un local de la Mairie."
"AMAP de l'Association Les RéJouyS";jouy;28;https://fr-fr.facebook.com/pages/category/Cause/Les-R%C3%A9Jouys-360745147739591/;contact@lesrejouys.fr;" Légumes BIO";"Distribution le vendredi de 18h30 a 19h30 au 10 bis, rue des Larris."
"AMAP Culture et Saveurs du Perche";la-loupe;28;;amap.csp.laloupe@gmail.com;" Légumes, pain, volaille, oeufs, fromage de chèvre";"Distribution le mardi de 18h à 19h - 2, rue du Lieutenant Pierre Gauquelin."
"Amap'tite terre";leves;28;"https://www.facebook.com/Amaptite-terre-2020806314860230/ | go.php?typ=1&id=1263";amaptiteterre@free.fr;" Légumes, fruits, pain, farine, volaille, laitages, oeufs, fromages, viandes, huile, vinaigre, cidre";"Distribution le vendredi de 18h30 à 19h45 au Centre de Loisirs du Mousseau - 35 bis, rue de Bailleau."
"Amap en BIOce";luce;28;https://www.facebook.com/amapenbioce/?ref=bookmarks;secretariat@amapenbioce.org;" Légumes, fruits, volaille, oeufs, viande, laitages, fromages, farine, légumes secs, pain, cidre, sorbets, vins, jus de fruits, savons";"Distribution le jeudi de 18h30 à 19h30 chez Les Compagnons du Partage - ZI les Malbrosses - rue de la Motte."
"MAINTENON L'AMAP";maintenon;28;https://www.facebook.com/Maintenon-lAMAP-103981071129331/;ithibaudiere@gmail.com;" Légumes BIO, pommes, oeufs, viande de boeuf et de porc BIO, volaille, farine, fromage, légumes secs";"Distribution le jeudi de 18h30 à 19h30 devant l?Espace Lesoudier au Centre Sportif - 41, rue René et Jean Lefèvre (face à la salle Maurice Leblond et près du rond-point Carrefour Market)."
"AMAP des Six Vallées";nogent-le-rotrou;28;go.php?typ=1&id=475;amap6vallees@laposte.net;" Légumes, volaille, oeufs, viandes, produits laitiers, pain, farine, vin, miel, tisanes, plantes";"Distribution le mardi de 17h30 à 19h au Pré aux Escargots - 111, rue de la Bretonnerie."
"AUX PETITS LEGUMES";sours;28;https://www.facebook.com/auxpetitslegumes/?ref=embed_page;auxpetitslegumes@gmail.com;" Légumes, pommes, pain, viandes, oeufs, volaille, produits laitiers, confitures, sirops, bière, miel, choucroute BIO";"Distribution le vendredi de 16h30 à 18h30 à la ferme."
"AMAP BANNALEC";bannalec;29;"https://www.facebook.com/amapbannalec | go.php?typ=1&id=2690";amap.bannalec29380@gmail.com;" Légumes BIO, pain BIO, oeufs BIO, cidre, poirée, agneau, miel,fromage de chèvre BIO, fruits rouges BIO, produits laitiers, bières BIO";"Distribution le jeudi de 18h à 19h30 à la halle André Duval, l'Isle."
"AMAP GUERIN";brest;29;go.php?typ=1&id=2028;amap.guerin@gmail.com;" Légumes, pain, poulet de chair, oeufs";"Distribution le mercredi de 17h30 à 19h au Patronage Laïque - 1, rue Alexandre Ribot."
"AMAP LIBERTATERRE";brest;29;go.php?typ=1&id=888;contact-libertaterre@listes.infini.fr;" Légumes, veau, boeuf, produits laitiers, pain, oeufs, plantes aromatiques, sirops, tisanes";"Distribution le mercredi de 17h30 à 19h30 à la MPT du Valy-Hir - 1 rue des Frères Goncourt."
"AMAP Roz Moc'h";brest;29;;amaprozmoch@gmail.com;" Légumes BIO, pain BIO, oeufs BIO";"Distribution le mercredi de 17h à 18h30 dans le hall de la faculté Victor Segalen."
"LES PANIERS CASTOIS";cast;29;;//fr-fr.facebook.com/castois.paniers;" Légumes BIO, oeufs";"Distribution le vendredi de 18h à 19h chez Frédéric LAMBALLE. Contacts téléphoniques: - Patricia MICHALOT - 06 47 60 35 43 - Frédéric LAMBALLE - 02.98.73.67.09 (après 19H)."
"AMAP de Concarneau";concarneau;29;;godefroygwen@gmail.com;" Légumes, oeufs, produits laitiers, fruits rouges de saison, jus de pomme et cidre";"Distribution le mercredi de 18h30 à 19h30 à la brasserie Tri Martolod Contact téléphonique: - Gwen GODEFROY - Tél: 02 98 50 15 75 / 06 17 19 16 90"
"AMAP DU CHANT DES FEES";douarnenez;29;"https://www.facebook.com/AMAP-Du-Chant-Des-F%C3%A9es-Douarnenez-1512723159021385/ | go.php?typ=1&id=1851";amapdz@gmail.com;" Légumes, oeufs, porc, boeuf, huile olive, pommes, kiwis, noix, produits lactés, champignons";"Distribution le jeudi de 18h30 à 20h près des Halles. Contact téléphonique: 06.03.33.38.85"
"CROQUE TON PANIER";landerneau;29;https://www.facebook.com/Croque-ton-panier-312906545998246/;croquetonpanier@gmail.com;" Légumes, pain";"Distribution le jeudi de 18h30 à 19h30 à la Maison pour tous."
"Légumes des jours";landerneau;29;go.php?typ=1&id=1351;legumesdesjours.amap@gmail.com;" Légumes BIO";"Distribution le mercredi de 18h à 19h à la Maison pour Tous (face à la gare, salle à l'arrière du bâtiment). Contact téléphonique: - Stéven MORVAN : 06 59 20 85 46"
"Prends-en de la graine";landerneau;29;go.php?typ=1&id=891;prendsendelagraine@gmail.com;" Légumes, pommes, viande, volailles, oeufs, pain";"Distribution le vendredi de 18h à 19h30 à la Maison Pour Tous (MPT), face à la gare (accès par l'arrière). Contact téléphonique: - Lucile : 02 29 62 32 30"
"AMAP du bout du monde";lanveoc;29;go.php?typ=1&id=893;amapduboutdumonde@gmail.com;" Légumes, produits laitiers, pain BIO, tisane";"Distribution le mardi de 18h à 19h au café associatif « Les voyageurs » - 7 rue de Tal-ar-Groas."
"AMAP des Rias";moelan-sur-mer;29;go.php?typ=1&id=1559;amapdesrias@gozmail.bzh;" Légumes, fromage de chèvre, oeufs, volaille, miel";"Distribution le vendredi de 18h30 à 19h15 sous les halles - Place de l?église."
"LA MAIN AU PANIER";moelan-sur-mer;29;https://www.facebook.com/LaMainAuPanier;lamainaupanier@laposte.net;" Légumes BIO";"Distribution le vendredi de 16h à 18h à la Ferme - Kernijeanne Coz."
"AMAP Penn ar bed";plougonvelin;29;go.php?typ=1&id=2187;amap.pennarbed@gmail.com;" Légumes BIO, pain BIO, viande BIO, produits laitiers BIO, herbes aromatiques BIO, bière, légumes lactofermentés Nature & Progrès, miel Nature & Progrès";"Distribution le vendredi de 17h30 à 19h30 à la ferme de Kerveur près de la pointe Saint-Mathieu."
"Amap de Ploumoguer";ploumoguer;29;"https://www.facebook.com/Amaploum | go.php?typ=1&id=875";contact@amaploum.org;" BIOS";"Distribution le vendredi de 17h à 19h à la Ferme de Messouflin"
"Amap Quimper Stangala";quimper;29;go.php?typ=1&id=2806;amap-quimper-stangala@outlook.fr;" Légumes, pain, oeufs, fromage";"Distribution le mardi de 17h45 à 19h15 près du Lycée Brizeu avec accès par le 2, rue Rosmadec."
"AMAP de Quimperlé";quimperle;29;"https://www.facebook.com/profile.php?id=100075540475280 | go.php?typ=1&id=887";amap.quimperle@gmail.com;" Légumes, viande porcine, charcuterie, poulets, rillettes,?ufs, lapins, fromages (chèvre et vache), lait, pain, confitures, cidre, jus de pomme, pizza";"Distribution le mardi de 18h15 à 19h15 au boulodrome - 11, rue de Kerbertrand."
"AMAP RÉDÉNÉ";redene;29;https://www.facebook.com/p/AMAP-R%C3%A9d%C3%A9n%C3%A9-61563334510946/;amap.redene@lilo.org;" Légumes, oeufs, pain, fromage, bière";"Distribution le mercredi de 18h30 à 19h30 au Local associatif du Boulodrome - rue de la Fontaine."
"AMAP DE RIEC";riec-sur-belon;29;;amap.riec@gmail.com;" Légumes, pain, farine, viande, miel, confiture, oeufs, laitages, jus de pomme, fromages";"Distribution le mercredi de 18h à 19h sur la Place du Marché."
"AMAP de Saint Coulitz";saint-coulitz;29;;amapsaintcoulitz@gmail.com;" Légumes, pain, produits laitiers, viande, oeufs";"Distribution le mercredi de 18h à 18h30 au hangar communal. Contact téléphonique: - Béatrice GENTRIC - Tel: 06.12.60.41.45"
"AMAP LES PANIERS DU POTAGER GOURMANDS";ales;30;"https://www.facebook.com/profile.php?id=100071188314432 | go.php?typ=1&id=441";carotte@amap-ales.fr;" Légumes BIO, oeufs BIO, pains BIO";"Distribution le mercredi de 18h à 19h sur le parking du Pôle Culturel et Scientifique de Rochebelle - 155, faubourg de Rochebelle."
"Les Cagettes du Vidourle";aubais;30;go.php?typ=1&id=1269;//www.lescagettesduvidourle.fr/nous-contacter/;" Légumes, pommes, oeufs, pain";"Distribution le mercredi de 18h30 à 19h15 sur le Parking de du parc des Aubrys - rue de l?Argilier."
"AMAP DU ROUINET";fourques;30;"http://www.facebook.com/AMAPDuRouinet | go.php?typ=1&id=2436";amaprouinet@lilo.org;" Légumes BIO, lentilles et pois chiches, asperges, fraises, fruits BIO, viandes (veau agneau toro BIO), oeufs, produits laitiers de vache de chèvre et de brebis,miel BIO, bière,huiles (olive-tournesol)";"Autres produits : huiles essentielles Distribution le mardi de 17h à 19h et le vendredi de 17h à 18h au Mas Ste Marie - Chemin du Rouinet. Contact téléphonique : 07 66 52 66 34 (aux horaires des distributions ou par SMS)"
"Amap le Jardin de Cidamos - Nimes Castanet";nimes;30;"https://www.facebook.com/jardinsdecidamos | go.php?typ=1&id=439";jardinsdecidamos@gmail.com;" Légumes, fruits, oeufs, conserves";"Distribution le mercredi de 19h30 à 20h au 203, Rte de Sauve (devant la boulangerie Perras)."
"AMAP Nimes - Chemin de Russan";nimes;30;go.php?typ=1&id=2057;jardinsdecidamos@gmail.com;" Légumes, fruits, oeufs, conserves";"Distribution le mercredi de 17h30 à 19h - Place de l'Ambiance / Chemin de Russan (derrière la maison de quartier)."
CROC'AMAP;nimes;30;"https://www.facebook.com/CrocAMAP/ | go.php?typ=1&id=1956";crocamap30@gmail.com;" Légumes, fruits, pain, oeufs, truites, viande, huile d'olive, miel";"Distribution le mercredi de 17h30 à 18h30 rue de l'Hôtel Dieu sur la Place de l'Oratoire entre le temple du même nom et l'école de la Placette. Contact téléphonique: - 07 49 13 02 87"
"LES PANIERS DE QUISSAC";quissac;30;;bioterre7@gmail.com;" Légumes BIO";"Distribution le vendredi soir sur le Champs de foire. Contact téléphonique: - EARL Bioterre - 04 66 35 49 96 ou 06 43 16 27 27"
"AMAP LE PANIER PININQUE";saint-jean-du-pin;30;https://www.facebook.com/pages/category/Nonprofit-Organization/AMAP-Le-panier-Pininque-St-Jean-Du-Pin-390149818190464/;amappanierpininque@gmail.com;" Légumes BIO, oeufs";"Distribution le jeudi de 18h à 19h sur la place de l'Eglise."
"LA MAIN AU PANIER";saint-julien-les-rosiers;30;go.php?typ=1&id=1270;lamap30340@gmail.com;" Légumes, oeufs, poulets BIO, fromages, confitures, huile d?olive, vin, pain, café, viande";"Distribution le mardi de 18h30 à 19h30 à l'espace Nelson Mandela."
"LES PANIERS DE L?ESCATTES";souvignargues;30;go.php?typ=1&id=2271;lespaniersdelescattes@gmail.com;" Légumes, oeufs, poulet, pain, viande de porc, huitres, vin, bière";"Distribution le mercredi de 19h à 19h30 sur la place de St Etienne de l'Esacattes."
"AMAP des Coquins";vallabregues;30;"https://www.facebook.com/profile.php?id=100057442900295 | go.php?typ=1&id=208";amapdescoquins@gmail.com;" Légumes, fruits, oeufs, lait a venir (2024) pain - vin et jus, agneaux, noix, miel, farine, veau, agrumes";"Distribution le vendredi de 17h30 à 18h30 sous les Halles. Contact téléphonique : 06 71 88 64 65"
"AMAP des CASSAGNOUS";auterive;31;go.php?typ=1&id=34;amap31.auterivecassagnous@gmail.com;" Légumes, fruits, poulets, oeufs, pain, fromage de chèvre, farine";"Distribution le mardi de 18h30 à 20h derrière la halle aux sports Henri Field"
